"","fam_log","family_members_no","age","marital_status","house_damage","abroad","district","pa_name_self","start_reconstruct","consult_knowledge","pa_name","visit_office","self_visit"
"69",1.09861228866811,3,72,1,2,0,"Kathmandu",0,0,0,0,0,NA
"70",1.38629436111989,4,47,1,1,1,"Nuwakot",1,1,1,2,1,1
"71",1.6094379124341,5,51,0,1,0,"Nuwakot",1,1,1,2,1,1
"72",2.07944154167984,8,25,1,2,0,"Makawanpur",0,1,1,1,0,NA
"73",1.79175946922805,6,32,1,2,0,"Kavrepalanchok",1,1,1,2,1,1
"74",1.38629436111989,4,34,1,1,0,"Bhaktapur",0,0,0,1,0,NA
"75",1.38629436111989,4,40,1,2,0,"Dolakha",1,1,1,2,1,1
"76",1.09861228866811,3,46,0,1,0,"Kavrepalanchok",1,1,1,2,1,1
"77",0.693147180559945,2,55,0,2,0,"Sindhupalchowk",1,1,1,2,1,1
"78",1.6094379124341,5,35,1,2,1,"Okhaldhunga",1,1,1,2,1,1
"79",2.30258509299405,10,50,1,2,0,"Ramechhap",0,1,1,0,1,0
"80",1.09861228866811,3,26,0,2,0,"Sindhupalchowk",0,1,1,1,1,1
"81",1.09861228866811,3,34,1,2,0,"Dhading",1,1,1,2,0,NA
"82",2.07944154167984,8,45,1,2,1,"Okhaldhunga",0,1,1,0,1,0
"83",1.79175946922805,6,35,1,2,0,"Ramechhap",0,1,1,0,1,0
"84",1.6094379124341,5,36,1,2,0,"Sindhuli",0,1,0,0,NA,NA
"85",1.6094379124341,5,36,1,1,0,"Sindhuli",0,1,0,0,NA,NA
"86",1.79175946922805,6,41,1,0,0,"Okhaldhunga",NA,0,1,NA,0,NA
"87",1.79175946922805,6,41,1,1,0,"Bhaktapur",0,0,1,1,0,NA
"88",1.38629436111989,4,72,1,1,1,"Ramechhap",0,1,1,1,1,0
"89",1.09861228866811,3,32,1,2,1,"Makawanpur",0,1,1,0,1,0
"90",0.693147180559945,2,35,0,2,1,"Dolakha",1,1,1,2,0,NA
"91",1.6094379124341,5,38,1,0,0,"Kathmandu",NA,0,0,NA,0,NA
"92",1.38629436111989,4,32,1,1,0,"Nuwakot",NA,0,1,NA,0,NA
"93",1.09861228866811,3,23,1,2,1,"Dhading",1,1,1,2,0,NA
"94",1.6094379124341,5,40,1,2,0,"Nuwakot",0,1,1,0,1,1
"95",1.94591014905531,7,37,1,2,0,"Okhaldhunga",0,1,1,1,1,1
"96",1.6094379124341,5,32,1,2,1,"Dhading",0,1,1,1,1,0
"97",2.39789527279837,11,66,0,1,0,"Sindhuli",1,1,0,2,0,NA
